Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"ANT1","ANT3216LL00R2400A","ANTC3216X135N",82.943674,-86.952163,0.000000,top
"C1","100n","C_0402_1005Metric",76.900000,-103.500000,90.000000,top
"C2","1u","C_0402_1005Metric",77.900000,-103.520000,-90.000000,top
"C3","100n","C_0402_1005Metric",90.900000,-107.900000,0.000000,top
"C4","10p","C_0402_1005Metric",89.400000,-91.220000,90.000000,top
"C5","10p","C_0402_1005Metric",84.700000,-91.220000,-90.000000,top
"C6","5.1p","C_0402_1005Metric",80.843674,-93.152163,0.000000,top
"C7","3.9p","C_0402_1005Metric",80.863674,-90.152163,0.000000,top
"C8","100n","C_0402_1005Metric",78.200000,-93.200000,0.000000,top
"C9","10u","C_0402_1005Metric",78.200000,-94.200000,0.000000,top
"C10","100n","C_0402_1005Metric",73.700000,-97.000000,-90.000000,top
"C11","1u","C_0402_1005Metric",66.800000,-95.550000,90.000000,top
"C12","1u","C_0402_1005Metric",67.850000,-95.580000,90.000000,top
"C13","1u","C_0402_1005Metric",65.350000,-95.550000,90.000000,top
"C14","1u","C_0402_1005Metric",72.500000,-105.200000,90.000000,top
"C15","10n","C_0402_1005Metric",83.000000,-92.200000,0.000000,top
"C16","1u","C_0402_1005Metric",83.020000,-91.200000,180.000000,top
"C17","100n","C_0402_1005Metric",87.980000,-96.500000,0.000000,top
"C18","100n","C_0402_1005Metric",77.400000,-102.100000,180.000000,top
"C19","100n","C_0402_1005Metric",76.700000,-93.720000,90.000000,top
"C20","1u","C_0402_1005Metric",75.400000,-96.400000,0.000000,top
"C21","10u","C_0402_1005Metric",75.420000,-97.400000,0.000000,top
"C22","100n","C_0402_1005Metric",75.400000,-98.400000,180.000000,top
"D1","ESDA25W","SOT65P210X110-3N",67.200000,-107.300000,-90.000000,top
"D2","ESDA25W","SOT65P210X110-3N",64.500000,-107.300000,-90.000000,top
"D3","PO2","LED_0603_1608Metric",71.900000,-100.700000,0.000000,top
"D4","PO3","LED_0603_1608Metric",71.900001,-102.632972,0.000000,top
"D5","1N5819WS","D_SOD-323",71.050000,-107.400000,180.000000,top
"D6","PO3","LED_0603_1608Metric",88.200000,-107.187501,90.000000,top
"J2","U261-241N-4BS60","XKB_U261-241N-4BS60",53.262500,-99.687060,-90.000000,top
"J3","Screw_Terminal_01x05","TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",102.120000,-110.160000,90.000000,top
"L1","2.2n","L_0402_1005Metric",81.343674,-91.652163,90.000000,top
"L2","2.2n","L_0402_1005Metric",76.300000,-95.300000,180.000000,top
"Q1","AO3400A","SOT-23",94.382500,-99.960000,0.000000,top
"Q2","AO3400A","SOT-23",94.382500,-94.960000,0.000000,top
"Q3","AO3400A","SOT-23",94.420000,-89.860000,0.000000,top
"Q4","AO3400A","SOT-23",94.420000,-105.060000,0.000000,top
"Q5","AOD413A","TRANS_AOD413A",65.350000,-91.000000,0.000000,top
"R1","22k","R_0402_1005Metric",71.200000,-98.500000,0.000000,top
"R2","100k","R_0402_1005Metric",72.700000,-96.990000,90.000000,top
"R3","100","R_0402_1005Metric",73.250000,-98.500000,180.000000,top
"R4","1k","R_0402_1005Metric",74.000000,-100.600000,-90.000000,top
"R5","1k","R_0402_1005Metric",74.000001,-102.532972,90.000000,top
"R6","1k","R_0402_1005Metric",71.000000,-104.750000,0.000000,top
"R7","470","R_0402_1005Metric",71.000000,-105.850000,0.000000,top
"R8","4.7k","R_0402_1005Metric",74.800000,-105.700000,90.000000,top
"R9","4.7k","R_0402_1005Metric",75.900000,-105.700000,-90.000000,top
"R10","1k","R_0402_1005Metric",88.500000,-104.709999,-90.000000,top
"R11","100k","R_0402_1005Metric",89.000000,-98.000000,90.000000,top
"R12","10k","R_0402_1005Metric",90.000000,-98.000000,-90.000000,top
"R13","470","R_0402_1005Metric",86.739376,-95.600000,45.000000,top
"R14","470","R_0402_1005Metric",86.000000,-94.900000,45.000000,top
"R15","1k","R_0402_1005Metric",67.300000,-103.109999,90.000000,top
"R16","10k","R_0402_1005Metric",63.900000,-101.090000,90.000000,top
"S1","B3U-1000P","SW_B3U-1000P",90.962500,-110.000000,0.000000,top
"S2","B3U-1000P","SW_B3U-1000P",73.500000,-110.100000,180.000000,top
"U1","STUSB4500QTR","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",67.075000,-99.400000,0.000000,top
"U2","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm",82.623573,-98.762214,-45.000000,top
"U3","W25Q16JVSSIQ","SOIC127P790X216-8N",82.442500,-107.800000,180.000000,top
"U4","SPX3819M5-L-3-3","SOT-23-5",77.062500,-91.000000,0.000000,top
"Y1","40MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",87.025000,-91.420000,180.000000,top
